region,Municipality,PM2.5,Distance to mines,Distance to roads,Precipitation,Temperature,Wind,Percentage of urban,Percentage of agriculture,Percentage of range land,Percentage forest,Percentage of barren land
Los Lagos,Quellen,0.6,321.4,27.7,2039.7,8.8,4.1,12.6,19.3,35.0,75.6,11.5
Los Lagos,Chonchi,0.6,350.3,4.2,2053.4,9.3,4.0,11.2,12.3,50.7,58.7,12.6
Magallanes y de la Antartica Chilena,Torres del Paine,0.5,499.0,10.8,770.9,4.7,7.4,0.0,0.0,60.4,25.2,34.7
Magallanes y de la Antartica Chilena,Natales,0.4,512.6,131.1,2786.8,5.3,8.2,24.9,13.9,47.3,31.5,24.8
Magallanes y de la Antartica Chilena,Porvenir,0.4,805.9,7.1,399.5,5.9,6.2,19.9,16.7,92.8,20.8,0.0
Magallanes y de la Antartica Chilena,Primavera,0.4,757.9,5.2,305.0,6.5,6.3,0.0,0.0,87.6,22.5,0.0
Magallanes y de la Antartica Chilena,San Gregorio,0.4,671.5,6.1,183.1,6.3,6.4,0.0,0.0,95.1,19.6,30.6
Magallanes y de la Antartica Chilena,Laguna Blanca,0.4,642.8,5.7,327.2,5.6,6.4,0.0,0.0,86.7,26.5,36.4
Magallanes y de la Antartica Chilena,Timaukel,0.4,894.6,35.6,723.8,4.1,7.3,0.0,0.0,44.5,42.4,26.8
Magallanes y de la Antartica Chilena,Rio Verde,0.3,694.1,56.5,1326.4,4.7,8.2,0.0,0.0,46.7,33.1,29.9
Magallanes y de la Antartica Chilena,Punta Arenas,0.3,788.0,84.8,1562.4,4.9,8.1,28.5,19.3,46.4,35.7,31.6
Magallanes y de la Antartica Chilena,Cabo de Hornos,0.3,996.9,75.6,959.2,3.8,7.9,14.7,11.1,26.4,27.7,27.8
